MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,対応ｺｰﾄﾞ,定義副傷病ﾌﾗｸﾞ,ICD名称,ICDｺｰﾄﾞ,変更区分,有効期間,,更新日
,,,,,,,開始日,終了日,
01,0010,1,3,百日咳菌による百日咳,A370,0,20220401,99999999,00000000
01,0010,1,3,その他のボルデテラ属菌種による百日咳,A378,0,20220401,99999999,00000000
01,0010,1,3,百日咳，詳細不明,A379,0,20220401,99999999,00000000
01,0010,1,3,レジオネラ症＜在郷軍人病＞,A481,0,20220401,99999999,00000000
01,0010,1,3,水痘肺炎,B012,0,20220401,99999999,00000000
01,0010,1,3,麻疹，肺炎を合併するもの,B052,0,20220401,99999999,00000000
01,0010,1,3,肺カンジダ症,B371,0,20220401,99999999,00000000
01,0010,1,3,ニューモシスチス症,B59,0,20220401,99999999,00000000
01,0010,1,3,肺炎連鎖球菌による肺炎,J13,0,20220401,99999999,00000000
01,0010,1,3,インフルエンザ菌による肺炎,J14,0,20220401,99999999,00000000
01,0010,1,3,細菌性肺炎，他に分類されないもの,J15$,0,20220401,99999999,00000000
01,0010,1,3,その他の感染病原体による肺炎，他に分類されないもの,J16$,0,20220401,99999999,00000000
01,0010,1,3,他に分類される疾患における肺炎,J17$,0,20220401,99999999,00000000
01,0010,1,3,肺炎，病原体不詳,J18$,0,20220401,99999999,00000000
01,0020,1,2,固形物及び液状物による肺臓炎,J69$,0,20220401,99999999,00000000
01,0040,1,2,百日咳菌による百日咳,A370,0,20220401,99999999,00000000
01,0040,1,2,その他のボルデテラ属菌種による百日咳,A378,0,20220401,99999999,00000000
01,0040,1,2,百日咳，詳細不明,A379,0,20220401,99999999,00000000
01,0040,1,2,レジオネラ症＜在郷軍人病＞,A481,0,20220401,99999999,00000000
01,0040,1,2,水痘肺炎,B012,0,20220401,99999999,00000000
01,0040,1,2,麻疹，肺炎を合併するもの,B052,0,20220401,99999999,00000000
01,0040,1,2,肺カンジダ症,B371,0,20220401,99999999,00000000
01,0040,1,2,ニューモシスチス症,B59,0,20220401,99999999,00000000
01,0040,1,2,肺炎連鎖球菌による肺炎,J13,0,20220401,99999999,00000000
01,0040,1,2,インフルエンザ菌による肺炎,J14,0,20220401,99999999,00000000
01,0040,1,2,細菌性肺炎，他に分類されないもの,J15$,0,20220401,99999999,00000000
01,0040,1,2,その他の感染病原体による肺炎，他に分類されないもの,J16$,0,20220401,99999999,00000000
01,0040,1,2,他に分類される疾患における肺炎,J17$,0,20220401,99999999,00000000
01,0040,1,2,肺炎，病原体不詳,J18$,0,20220401,99999999,00000000
01,0050,1,3,てんかん,G40$,0,20220401,99999999,00000000
01,0050,1,3,てんかん重積（状態）,G41$,0,20220401,99999999,00000000
01,0060,2,1,サルモネラ敗血症,A021,0,20220401,99999999,00000000
01,0060,2,1,リステリア性敗血症,A327,0,20220401,99999999,00000000
01,0060,2,1,百日咳菌による百日咳,A370,0,20220401,99999999,00000000
01,0060,2,1,その他のボルデテラ属菌種による百日咳,A378,0,20220401,99999999,00000000
01,0060,2,1,百日咳，詳細不明,A379,0,20220401,99999999,00000000
01,0060,2,1,ウォーターハウス・フリーデリクセン＜Ｗａｔｅｒｈｏｕｓｅ－Ｆｒｉｄｅｒｉｃｈｓｅｎ＞症候群,A391,0,20220401,99999999,00000000
01,0060,2,1,慢性髄膜炎菌菌血症,A393,0,20220401,99999999,00000000
01,0060,2,1,髄膜炎菌性心疾患,A395,0,20220401,99999999,00000000
01,0060,2,1,連鎖球菌性敗血症,A40$,0,20220401,99999999,00000000
01,0060,2,1,その他の敗血症,A41$,0,20220401,99999999,00000000
01,0060,2,1,ノカルジア症,A43$,0,20220401,99999999,00000000
01,0060,2,1,バルトネラ症,A44$,0,20220401,99999999,00000000
01,0060,2,1,レジオネラ症＜在郷軍人病＞,A481,0,20220401,99999999,00000000
01,0060,2,1,水痘肺炎,B012,0,20220401,99999999,00000000
01,0060,2,1,麻疹，肺炎を合併するもの,B052,0,20220401,99999999,00000000
01,0060,2,1,皮膚糸状菌症,B35$,0,20220401,99999999,00000000
01,0060,2,1,その他の表在性真菌症,B36$,0,20220401,99999999,00000000
01,0060,2,1,カンジダ性口内炎,B370,0,20220401,99999999,00000000
01,0060,2,1,肺カンジダ症,B371,0,20220401,99999999,00000000
01,0060,2,1,皮膚及び爪のカンジダ症,B372,0,20220401,99999999,00000000
01,0060,2,1,外陰及び腟のカンジダ症,B373,0,20220401,99999999,00000000
01,0060,2,1,その他の部位の尿路性器のカンジダ症,B374,0,20220401,99999999,00000000
01,0060,2,1,カンジダ性敗血症,B377,0,20220401,99999999,00000000
01,0060,2,1,その他の部位のカンジダ症,B378,0,20220401,99999999,00000000
01,0060,2,1,カンジダ症，詳細不明,B379,0,20220401,99999999,00000000
01,0060,2,1,急性肺コクシジオイデス症,B380,0,20220401,99999999,00000000
01,0060,2,1,慢性肺コクシジオイデス症,B381,0,20220401,99999999,00000000
01,0060,2,1,肺コクシジオイデス症，詳細不明,B382,0,20220401,99999999,00000000
01,0060,2,1,皮膚コクシジオイデス症,B383,0,20220401,99999999,00000000
01,0060,2,1,播種性コクシジオイデス症,B387,0,20220401,99999999,00000000
01,0060,2,1,その他の型のコクシジオイデス症,B388,0,20220401,99999999,00000000
01,0060,2,1,コクシジオイデス症，詳細不明,B389,0,20220401,99999999,00000000
01,0060,2,1,カプスラーツム急性肺ヒストプラスマ症,B390,0,20220401,99999999,00000000
